clip_filename,source,start_sec,duration_sec,selected,reason,score_delta,clarity_delta,silence_pct,hiss_ratio,harmonicity,actor_match_score,movie_match_score
jarvis_ref_vm_001_0055680_0057120.wav,JARVIS_REF,55.680,1.440000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.904031,1.785714,0.023173,0.754025,,
jarvis_ref_vm_002_0389080_0393730.wav,JARVIS_REF,389.080,4.650000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.886333,10.270270,0.010153,0.727073,,
jarvis_ref_vm_003_0110360_0114420.wav,JARVIS_REF,110.360,4.060000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.882812,10.559006,0.007457,0.785881,,
jarvis_ref_vm_004_0094130_0098430.wav,JARVIS_REF,94.130,4.300000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.873357,11.111111,0.011063,0.621324,,
jarvis_ref_vm_005_0451650_0454310.wav,JARVIS_REF,451.650,2.660000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.871740,7.619048,0.019302,0.702104,,
jarvis_ref_vm_006_0329280_0332820.wav,JARVIS_REF,329.280,3.540000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.864612,10.714286,0.013334,0.693472,,
jarvis_ref_vm_007_0454790_0460330.wav,JARVIS_REF,454.790,5.540000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.862020,11.818182,0.016318,0.738838,,
jarvis_ref_vm_008_0000300_0003100.wav,JARVIS_REF,0.300,2.800000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.858856,11.711712,0.007693,0.709730,,
jarvis_ref_vm_009_0051840_0053780.wav,JARVIS_REF,51.840,1.940000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.857644,10.526316,0.009201,0.705776,,
jarvis_ref_vm_010_0275300_0277840.wav,JARVIS_REF,275.300,2.540000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.848627,13.000000,0.005591,0.812915,,
jarvis_ref_vm_011_0038420_0042110.wav,JARVIS_REF,38.420,3.690000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.835756,13.013699,0.018353,0.755200,,
jarvis_ref_vm_012_0259650_0262260.wav,JARVIS_REF,259.650,2.610000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.835471,15.533981,0.000986,0.725197,,
jarvis_ref_vm_013_0464290_0471290.wav,JARVIS_REF,464.290,7.000000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.830321,11.827957,0.032634,0.677200,,
jarvis_ref_vm_014_0315270_0317000.wav,JARVIS_REF,315.270,1.730000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.829932,13.235294,0.009791,0.688196,,
jarvis_ref_vm_015_0179310_0180680.wav,JARVIS_REF,179.310,1.370000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.827600,13.207547,0.009189,0.813490,,
jarvis_ref_vm_016_0263020_0267100.wav,JARVIS_REF,263.020,4.080000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.826125,17.901235,0.002717,0.676922,,
jarvis_ref_vm_017_0099260_0103640.wav,JARVIS_REF,99.260,4.380000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.824267,17.241379,0.008354,0.725890,,
jarvis_ref_vm_018_0399750_0402880.wav,JARVIS_REF,399.750,3.130000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.813175,16.935484,0.008779,0.760483,,
jarvis_ref_vm_019_0172930_0174900.wav,JARVIS_REF,172.930,1.970000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.813045,15.584416,0.008886,0.677558,,
jarvis_ref_vm_020_0317370_0324050.wav,JARVIS_REF,317.370,6.680000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.812861,14.661654,0.019336,0.596114,,
