rank,clip_filename,duration_sec,silence_pct,hiss_ratio,harmonicity,quality_score,source_path
1,jarvis_ref_vm_001_0055680_0057120.wav,1.440000,1.785714,0.023173,0.754025,0.904031,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_001_0055680_0057120.wav
2,jarvis_ref_vm_036_0004850_0006240.wav,1.390000,5.555556,0.010161,0.697086,0.894792,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_036_0004850_0006240.wav
3,jarvis_ref_vm_002_0389080_0393730.wav,4.650000,10.270270,0.010153,0.727073,0.886334,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_002_0389080_0393730.wav
4,jarvis_ref_vm_003_0110360_0114420.wav,4.060000,10.559006,0.007457,0.785881,0.882813,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_003_0110360_0114420.wav
5,jarvis_ref_vm_004_0094130_0098430.wav,4.300000,11.111111,0.011063,0.621324,0.873357,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_004_0094130_0098430.wav
6,jarvis_ref_vm_005_0451650_0454310.wav,2.660000,7.619048,0.019302,0.702104,0.871739,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_005_0451650_0454310.wav
7,jarvis_ref_vm_006_0329280_0332820.wav,3.540000,10.714286,0.013334,0.693472,0.864612,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_006_0329280_0332820.wav
8,jarvis_ref_vm_007_0454790_0460330.wav,5.540000,11.818182,0.016318,0.738838,0.862020,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_007_0454790_0460330.wav
9,jarvis_ref_vm_008_0000300_0003100.wav,2.800000,11.711712,0.007693,0.709730,0.858856,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_008_0000300_0003100.wav
10,jarvis_ref_vm_009_0051840_0053780.wav,1.940000,10.526316,0.009201,0.705776,0.857645,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_009_0051840_0053780.wav
11,jarvis_ref_vm_010_0275300_0277840.wav,2.540000,13.000000,0.005591,0.812915,0.848626,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_010_0275300_0277840.wav
12,jarvis_ref_vm_037_0010100_0012480.wav,2.380000,11.702128,0.011230,0.638492,0.847714,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_037_0010100_0012480.wav
13,jarvis_ref_vm_011_0038420_0042110.wav,3.690000,13.013699,0.018353,0.755200,0.835755,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_011_0038420_0042110.wav
14,jarvis_ref_vm_012_0259650_0262260.wav,2.610000,15.533981,0.000986,0.725197,0.835471,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_012_0259650_0262260.wav
15,jarvis_ref_vm_013_0464290_0471290.wav,7.000000,11.827957,0.032634,0.677200,0.830320,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_013_0464290_0471290.wav
16,jarvis_ref_vm_014_0315270_0317000.wav,1.730000,13.235294,0.009791,0.688196,0.829933,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_014_0315270_0317000.wav
